container,method,rate,rs_r_m,rs_s_m,rs_r_neg_m,rs_s_neg_m,rs_gap_m,rs_gap_neg_m,rs_gap_ratio,rs_r_gap,rs_g_gap,rs_b_gap,lsb_one_ratio,lsb_entropy,chi_square_normalized,spatial_agreement,r_chi_square_normalized,g_chi_square_normalized,b_chi_square_normalized,r_lsb_one_ratio,g_lsb_one_ratio,b_lsb_one_ratio
photo_mixed,adaptive,35,0.5738465459463825,0.4261534540536176,0.5952974856669896,0.3997181342861757,0.14769309189276483,0.19557935138081395,0.7551568754576272,0.1427768441133721,0.14610964752906977,0.1541927840358527,0.49767553837108364,0.9999844098296048,103.91157644107332,0.5023242410411618,37.556567507286374,53.65864558968403,89.67912879586751,0.49680984851925875,0.49702181557352226,0.49919495102046996
photo_mixed,sequential,60,0.5415162079093991,0.4584837920906008,0.6222658773417312,0.37222771065487725,0.08303241581879844,0.250038166686854,0.3320789658595907,0.0779338511385659,0.08245896923449612,0.08870442708333333,0.4959406101118379,0.999952452155151,66.6204589429122,0.5020559005930935,23.582176019406354,47.29514703844371,31.561633272478936,0.4972004262051841,0.49356126415637114,0.4970601399739583
photo_mixed,random,60,0.5325981356992894,0.46740186430071057,0.6283637152777778,0.36706858395914077,0.06519627139857881,0.2612951313186369,0.24951200226947617,0.06174297480620155,0.06478053839631782,0.06906530099321706,0.4988076064629764,0.9999958975417208,20.551545975516603,0.5003151626447341,7.2181686601481285,12.763013243942162,17.16289080593922,0.49880460990491765,0.49843887210816373,0.49917933737584785
photo_mixed,adaptive,60,0.5512783632105943,0.44872163678940574,0.6157772251493863,0.37963930272932817,0.10255672642118863,0.23613792242005813,0.43430858275594453,0.10171769016472869,0.09701277858527131,0.1089397105135659,0.49876336780321384,0.9999955874862018,70.7588985040639,0.5016809282518725,28.17469494297844,39.1973253168279,67.18225536621746,0.497272580168968,0.49838919232982076,0.5006283309108527
photo_mixed,sequential,85,0.5156477107558141,0.48435228924418605,0.6447419553456073,0.3513199365108204,0.031295421511627904,0.2934220188347868,0.10665669071430184,0.028643940770348836,0.032063802083333336,0.03317852168120155,0.4982866785014939,0.9999915300057931,25.811163191188392,0.5004458223808315,9.400427261288185,9.639995562940381,15.283717831649998,0.4980948987857316,0.49789570653161336,0.49886943018713664
photo_mixed,random,85,0.5122410973837209,0.48775890261627913,0.6467007580345607,0.3490737796753876,0.02448219476744186,0.2976269783591731,0.08225798246655248,0.024149103682170544,0.0235851199127907,0.02571236070736434,0.4998109014151324,0.9999998968234262,3.7761488795429763,0.5001364221892688,1.9651710120573431,2.8459886654315563,3.1862960178154482,0.49973196576732076,0.4996349719143653,0.5000657665637113
photo_mixed,adaptive,85,0.5215739563145995,0.4784260436854005,0.641128421753876,0.3543445675872093,0.04314791262919896,0.2867838541666667,0.15045446946299568,0.04626559471899225,0.036244473716085274,0.04693366945251938,0.5000322524275275,0.9999999969985622,33.839196178308335,0.5012359622123723,13.69323648747327,24.31042329662411,26.97550706840166,0.49938373417817344,0.4992917083030523,0.5014213148013565
graphics,sequential,15,0.6525632873062016,0.34743671269379844,0.7131130011506782,0.28366301780523256,0.3051265746124031,0.42944998334544576,0.7105054987671567,0.2883717145106589,0.3480234072189923,0.27898460210755816,0.5021511344022529,0.9999866481647144,4113.216103533198,0.5127321002969785,1581.7163896472216,3914.828069868167,1140.413342885481,0.5031229654947916,0.49854296307231105,0.504787474639656
graphics,random,15,0.6466875100936692,0.35331248990633074,0.7135293650072674,0.2833056388283269,0.2933750201873385,0.43022372617894056,0.6819126941067789,0.2734375,0.34324847080910853,0.263439089752907,0.5031494613765746,0.9999713793178874,4596.229329718439,0.5097450020489724,1702.084477441904,4552.009941501465,1231.1314324729626,0.5051025863765746,0.49712235798207366,0.5072234397710755
graphics,adaptive,15,0.6649624136991279,0.3350375863008721,0.7071807624757751,0.29091595001614984,0.32992482739825585,0.4162648124596253,0.7925839934651122,0.3080638323643411,0.3803181019864341,0.3013925478439923,0.5014213148013565,0.9999941711124509,5751.17158922584,0.5123424180991835,2190.1608870445543,5652.580448283658,1407.8191538532933,0.5041652945585029,0.4943831096323886,0.5057155402131783
graphics,sequential,35,0.6151744438388244,0.38482555616117575,0.7354764716569768,0.26168720728359174,0.23034888767764858,0.47378926437338503,0.48618427009379145,0.21374606346899225,0.2705948703972868,0.20670572916666666,0.49871439773598997,0.9999952310994008,2531.0119449554777,0.5088159268090108,821.4223944964191,2479.2788827381855,608.7641639978875,0.4956210823946221,0.5035864068556202,0.49693570395772774
graphics,random,35,0.6058583025476421,0.3941416974523579,0.7372974326752262,0.2598362806847545,0.21171660509528425,0.4774611519904716,0.4434216359020332,0.1980945675872093,0.24787275920542637,0.18918248849321706,0.5025018894087129,0.9999819389679141,2684.8413424006676,0.505822188751694,989.3195731337978,2666.4285892587973,726.9168716650089,0.5039968564528827,0.49778735730075097,0.5057214544725048
graphics,adaptive,35,0.6290504002139858,0.37094959978601416,0.7322729933785529,0.2658035317748708,0.2581008004279716,0.4664694616036822,0.5533069614903473,0.24264739280523256,0.29400587451550386,0.2376491339631783,0.5015112903999112,0.9999934097628478,3766.7205656649876,0.5109635960521559,1356.3354571103262,3725.7325609899563,845.215765318585,0.5040668812833091,0.4947493205698886,0.5057176693465358
graphics,sequential,60,0.5675055136668282,0.43249448633317183,0.7631088375121124,0.23434188014777133,0.13501102733365633,0.5287669573643411,0.25533181575230024,0.11719128512596899,0.1755787457606589,0.11226305111434108,0.4962301722484658,0.9999589935981151,1533.7712456785198,0.5040707546711399,335.27956270158734,1611.2495031873873,296.9988433054605,0.49073897960574125,0.5078245650890262,0.4901269720506298
graphics,random,60,0.5600794119428295,0.43992058805717055,0.765552767179425,0.23192003038194442,0.1201588238856589,0.5336327367974807,0.22517138773527018,0.11363326671511628,0.14002316497093023,0.10682003997093023,0.5015062435652858,0.999993453704572,1016.4800988051684,0.5023119135880979,378.0237202588363,1006.3949183602404,269.919201704857,0.5024163297904555,0.4985599961391715,0.5035424047662306
graphics,adaptive,60,0.5811647715802649,0.41883522841973514,0.7639914027172158,0.23404253976905687,0.16232954316052972,0.5299488629481589,0.3063117113931977,0.15240431201550386,0.18194722020348839,0.1526370972625969,0.5016526806262113,0.9999921189660655,1620.8057386006626,0.509166621413509,516.7564946077706,1715.0381685036448,312.24485990232546,0.504371820494186,0.49483353962269866,0.505752681761749
graphics,sequential,85,0.524776172884367,0.47522382711563305,0.7911367490310077,0.206748942688146,0.04955234576873385,0.5843878063428618,0.08479359978237014,0.03925175629844961,0.07195713723352713,0.037448143774224806,0.49648574710816373,0.9999643652158808,421.6435765960047,0.5011225352248958,71.45982740533115,440.14111860155066,69.54441109963528,0.4922329215116279,0.5055759636930717,0.4916483561197917
graphics,random,85,0.5204986651122415,0.47950133488775837,0.7929006177325583,0.20494501473675708,0.04099733022448321,0.587955602995801,0.06972861558864335,0.038118111070736434,0.04900034823158915,0.035873531371124034,0.5004319775012113,0.9999994615729818,142.22498796127746,0.5003455869185368,53.99162200681006,140.10129959542022,37.227870295256174,0.5008232648982558,0.4994838034459787,0.5009888641593992
graphics,adaptive,85,0.5301791247779393,0.46982087522206073,0.7947089616642442,0.20331520257994184,0.06035824955587855,0.5913937590843023,0.10206101878608863,0.06226153706395349,0.06044467659883721,0.058368535004844964,0.5010635415404958,0.9999967362733542,255.32784742963264,0.507001942941689,83.45656816972006,265.4900245336533,50.04865924735738,0.5033051246820495,0.49570553801780526,0.5041799619216327
